mls,status,title,address,city,price,aiEst,tax,carryUtils,mortgageAmt,bed,bath,suite,houseSize,landSize,zoning,power,water,riskFire,riskClimate,distFire,distCity,distGrocery,distHospital,url,img,features,notes,importDate,links,User_Score,User_Note,Spouse_Score,Spouse_Note,Realtor_Score,Realtor_Note
"10374513","Watchlist","Silver Birch Country Estate","2828 Silver Birch Lane, Kamloops, BC V0E 2P0","Kamloops (Pritchard)","1525000","1530000","5240","550","","3","4","No","6040","20.00 acres","AF-1","200amp, Grid","Spring","5","3","12.4","34","15.2","36.5","https://www.zealty.ca/property/bc/kamloops/2828-silver-birch-lane-mls_10374513","https://ddfcdn.realtor.ca/listing/TS639062371272900000/reb19/highres/3/10374513_1.jpg","Est. Range: $1,450,000 - $1,625,000. 20-acre private estate with a year-round natural spring and full fencing. 2007-built home offers significant scale (6k+ sqft). Scarcity multiplier applied for large acreage with sustainable water source.","","2026-02-13T19:14:47.895Z","","","","","","",""
"10374964","Watchlist","Pine Ridge Post & Beam","150 Pine Ridge Road, Lillooet, BC V0K 1V0","Lillooet","1099000","985000","3840","420","","4","3","No","3446","7.34 acres","RR1","200amp, Grid","Well","5","4","4.2","3.5","3.8","4.1","https://www.zealty.ca/property/bc/lillooet/150-pine-ridge-road-mls_10374964","https://ddfcdn.realtor.ca/listing/TS639059196664100000/reb19/highres/4/10374964_1.jpg","Est. Range: $920,000 - $1,050,000. Post & Beam character home with panoramic mountain views. 7.34 private acres 5 minutes from town. High-end finishes include granite island and custom kitchen. Shop potential.","","2026-02-13T19:15:35.529Z","","","","","","",""
"10374760","Watchlist","Gun Lake Resort Commercial","7068 Gun Lake West Road, Gold Bridge, BC V0K 1P0","Gold Bridge","1575000","1360000","3999","480","","3","2","No","1050","2.09 acres","C-4","Grid","Lake Intake","5","4","18.5","95","5.2","105","https://www.zealty.ca/property/bc/gold-bridge/7068-gun-lake-west-road-mls_10374760","https://ddfcdn.realtor.ca/listing/TS639057415639200000/reb19/highres/0/10374760_1.jpg","Est. Range: $1,250,000 - $1,475,000. Rare C-4 Resort Commercial zoning on 120ft of Gun Lake frontage. Includes a heated 9-bay garage/shop. High value driver is the lake frontage and unique commercial versatility.","","2026-02-13T19:16:18.022Z","","","","","","",""
"10374592","Watchlist","Clearwater Valley Rancher","1249 Clearwater Valley Road, Clearwater, BC V0E 1N1","Clearwater","1290000","1115000","6033","610","","3","3","Potential","4520","10.00 acres","RL-1","200amp, Grid","Well","4","3","6.1","5.5","5.8","6.4","https://www.zealty.ca/property/bc/clearwater/1249-clearwater-valley-road-mls_10374592","https://ddfcdn.realtor.ca/listing/TS639056333439900000/reb19/highres/2/10374592_1.jpg","Est. Range: $1,050,000 - $1,180,000. Custom design with indoor BBQ area and 11ft basement ceilings. Separate shop features three large bay doors (up to 16ft) and office. Propane high-efficiency HVAC.","","2026-02-13T19:17:10.770Z","","","","","","",""
"10374105","Watchlist","Tobiano Lakeside Masterpiece","338 Rue Cheval Noir, Kamloops, BC V1S 0G2","Kamloops (Tobiano)","2050000","1900000","8200","720","","4","4","No","3314","0.83 acres","CD","200amp, Grid","Municipal","3","3","14.5","28","25","31","https://www.zealty.ca/property/bc/kamloops/338-rue-cheval-noir-mls_10374105","https://ddfcdn.realtor.ca/listing/TS639052049159570000/reb19/highres/5/10374105_1.jpg","Est. Range: $1,825,000 - $1,975,000. 2022-built luxury home in world-class golf resort. Features Wolf/Sub-Zero kitchen, Nano door to outdoor kitchen, saltwater pool, and Bullfrog spa. Triple heated garage. Scarcity driven by location/amenity density.","","2026-02-13T19:17:55.524Z","","","","","","",""
"10373830","Watchlist","Benchlands View Estate","1555 Kicking Horse Way, Kamloops, BC V2E 2T6","Kamloops","2300000","2050000","8950","540","","6","5","Potential","5001","0.34 acres","R3","Grid","Municipal","3","2","2.5","4.2","3.1","5.8","https://www.zealty.ca/property/bc/kamloops/1555-kicking-horse-way-mls_10373830","https://ddfcdn.realtor.ca/listing/TS639050291554930000/reb19/highres/0/10373830_1.jpg","Est. Range: $1,950,000 - $2,150,000. Panoramic river valley views. Features games court (pickleball/hockey), in-ground trampoline, and primary suite oasis. Built-in shop space in oversized garage plus RV parking. Daylight walk-out basement.","","2026-02-13T19:19:47.993Z","","","","","","",""
"10373357","Watchlist","Shuswap Road Gated Modern","3093 Shuswap E Road, Kamloops, BC V2H 1T1","Kamloops","2499000","2250000","9120","410","","5","4","No","4964","2.70 acres","AF-1","Solar/Grid","Well","4","3","8.4","12","10.5","14.2","https://www.zealty.ca/property/bc/kamloops/3093-shuswap-e-road-mls_10373357","https://ddfcdn.realtor.ca/listing/TS639045119696400000/reb19/highres/7/10373357_1.jpg","Est. Range: $2,150,000 - $2,350,000. Resort-style living with in-ground saltwater pool, fire pit, and private helicopter pad. Solar efficiency and detached garage/seacan storage. Rare level of privacy and scale for Kamloops proper.","","2026-02-13T19:20:52.171Z","","","","","","",""
"10371668","Watchlist","Cherry Creek Reno Estate","5884 Cherry Road, Kamloops, BC V1S 2A2","Kamloops","1349900","1260000","2999","490","","5","3","Yes","4700","11.43 acres","AF-1","200amp, Grid","Well","5","3","15.2","22.5","21","24.5","https://www.zealty.ca/property/bc/kamloops/5884-cherry-road-mls_10371668","https://ddfcdn.realtor.ca/listing/TS639039917543330000/reb19/highres/8/10371668_1.jpg","Est. Range: $1,200,000 - $1,325,000. 11.43-acre renovated estate with 2 homes. Primary home features commercial kitchen and soundproof media room. Includes helicopter landing pad and fully powered Quonset shop. Fenced for animals.","","2026-02-13T19:22:12.243Z","","","","","","",""
"10372533","Watchlist","Campbell Creek Rancher","585 Coyote Drive, Kamloops, BC V2C 6T9","Kamloops","1224900","1110000","8490","460","","3","3","No","3000","0.43 acres","R-1","Grid","Municipal","3","2","3.8","18","5.5","20.5","https://www.zealty.ca/property/bc/kamloops/585-coyote-drive-mls_10372533","https://ddfcdn.realtor.ca/listing/TS639038317953000000/reb19/highres/3/10372533_1.jpg","Est. Range: $1,050,000 - $1,175,000. Park-like retreat with pool and hot tub. Main floor living focus. RV parking. Located in quiet cul-de-sac. Value driver is the large suburban lot and backyard amenities.","","2026-02-13T19:22:47.478Z","","","","","","",""
"10372227","Watchlist","Juniper West Executive","1314 Myra Place, Kamloops, BC V2E 0C3","Kamloops","2100000","1950000","12091","530","","4","4","Yes","5528","0.32 acres","R3","Grid","Municipal","3","2","4.1","7.5","6.2","9.1","https://www.zealty.ca/property/bc/kamloops/1314-myra-place-mls_10372227","https://ddfcdn.realtor.ca/listing/TS639048720803100000/reb19/highres/7/10372227_1.jpg","Est. Range: $1,850,000 - $2,050,000. Custom 2019 rancher with daylight basement. Features theatre room, steam room, and self-contained suite with its own garage. 3-car main garage. High-end chef's kitchen with matching cabinetry appliances.","","2026-02-13T19:24:42.777Z","","","","","","",""
